faltantes cross-validation
0.0 96.3218
2.5 96.3218
5.0 96.3218
7.5 96.3218
10.0 96.3218
12.5 96.3218
15.0 96.3218
17.5 96.3218
20.0 96.3218
22.5 96.3218
25.0 96.3218
27.5 96.3218
30.0 96.3218
32.5 96.3218
35.0 96.3218
37.5 96.3218
40.0 96.3218
42.5 96.3218
45.0 96.3218
47.5 96.3218
50.0 96.3218
52.5 96.3218
55.0 96.3218
57.5 96.3218
60.0 96.3218
62.5 96.3218
65.0 96.3218
67.5 96.3218
70.0 96.3218
72.5 96.3218
75.0 96.3218
77.5 96.3218
80.0 96.3218
82.5 96.3218
85.0 96.3218
