faltantes cross-validation
0.0 92.4138
2.5 93.3333
5.0 93.3333
7.5 93.3333
10.0 93.3333
12.5 93.3333
15.0 93.3333
17.5 93.5632
20.0 93.5632
22.5 93.3333
25.0 93.3333
27.5 93.3333
30.0 93.3333
32.5 93.3333
35.0 93.3333
37.5 93.5632
40.0 93.5632
42.5 93.5632
45.0 93.5632
47.5 93.5632
50.0 93.3333
52.5 93.3333
55.0 93.3333
57.5 92.8736
60.0 93.1034
62.5 92.8736
65.0 92.6437
67.5 92.6437
70.0 92.6437
72.5 92.6437
75.0 92.6437
77.5 92.6437
80.0 92.6437
82.5 92.6437
85.0 92.6437
