faltantes cross-validation
0.0 94.7126
2.5 94.9425
5.0 94.023
7.5 94.2529
10.0 94.2529
12.5 94.2529
15.0 94.2529
17.5 94.2529
20.0 94.023
22.5 94.4828
25.0 94.7126
27.5 94.7126
30.0 94.9425
32.5 95.1724
35.0 94.9425
37.5 94.4828
40.0 94.9425
42.5 94.9425
45.0 94.4828
47.5 94.7126
50.0 94.7126
52.5 94.4828
55.0 94.2529
57.5 94.2529
60.0 95.4023
62.5 95.6322
65.0 95.6322
67.5 95.6322
70.0 95.6322
72.5 95.6322
75.0 95.6322
77.5 95.4023
80.0 95.4023
82.5 95.4023
85.0 95.4023
